ID;País;Ciudad;Tipo de Turismo;Atracción Principal;Nro de Visitantes Anuales;Gasto Promedio ($);Duracion Promedio (dias);Temporada Alta;Transporte Principal;Clima;Idioma;Moneda;Alojamiento Popular;Actividad Destacada;Seguridad;Requisitos de Visa;Valoracion (1-5);Fecha de Visita;Edad del Viajero;Motivo del Viaje
601;Egipto;El Cairo;Histórico;Pirámides de Giza;20254786;2713;12;Invierno;Taxi;Templado;Arabe;Libra Egipcia;Ryokan;Museos;Media;Si;3;07/07/2021;74;Aventura
602;Italia;Roma;Tecnológico;Coliseo;18486458;2827;7;Primavera;Bus;Templado;Italiano;Euro;Camping;Religión;Baja;Si;3;27/08/2019;48;Estudio
603;Australia;Sidney;Cultural;Ópera de Sidney;38868171;2680;6;Invierno;Tren;Continental;Inglés;Dólar Australiano;Hostales;Anime;Baja;No para UE;1;01/03/2019;47;Aventura
604;Italia;Roma;Religioso;Coliseo;33699461;4333;7;Verano;Tren;Continental;Italiano;Euro;Cabañas;Compras;Baja;No para UE;5;03/05/2020;78;Luna de Miel
605;México;Cancún;Tecnológico;Playas del Caribe;15853964;4890;7;Verano;Metro;Desértico;Español;Peso;Hostales;Anime;Alta;Si;3;22/08/2021;46;Negocios
606;México;Cancún;Gastronómico;Playas del Caribe;49426865;769;12;Otoño;Taxi;Templado;Español;Peso;Resort;Anime;Baja;No para UE;4;25/08/2022;36;Aventura
607;Egipto;El Cairo;Histórico;Pirámides de Giza;28615983;2838;12;Otoño;Tren;Tropical;Arabe;Libra Egipcia;Resort;Museos;Baja;No;2;17/11/2022;66;Aventura
608;España;Barcelona;Histórico;Sagrada Familia;24075497;4887;5;Otoño;Ferry;Tropical;Español;Euro;Hoteles;Gastronomía;Media;No;3;21/07/2020;57;Vacaciones
609;Australia;Sidney;Playa;Ópera de Sidney;9394591;4811;10;Verano;Tren;Húmedo;Inglés;Dólar Australiano;Hoteles;Senderismo;Alta;No para UE;2;23/03/2019;24;Aventura
610;EE.UU.;Nueva York;Urbano;Times Square;9600653;3897;15;Todo el año;Bus;Continental;Inglés;Dólar;Cabañas;Exploración;Alta;No para UE;2;29/07/2019;53;Aventura
611;Tailandia;Bangkok;Gastronómico;Gran Palacio;26406488;1565;14;Primavera;Ferry;Húmedo;Tailandés;Baht;Ryokan;Surf;Alta;Si;3;11/04/2019;57;Luna de Miel
612;Italia;Roma;Cultural;Coliseo;39369391;2409;14;Otoño;Bus;Desértico;Italiano;Euro;Cabañas;Compras;Alta;No;4;18/01/2022;80;Negocios
613;Brasil;Río de Janeiro;Urbano;Copacabana;14623862;4022;11;Primavera;Bus;Tropical;Portugués;Real;Hoteles;Museos;Baja;No para UE;3;16/12/2019;45;Vacaciones
614;Francia;París;Histórico;Torre Eiffel;20726496;1603;6;Primavera;Bus;Húmedo;Francés;Euro;Resort;Exploración;Baja;No;2;07/08/2020;54;Vacaciones
615;Brasil;Río de Janeiro;Aventura;Copacabana;28355752;2650;10;Verano;Bicicleta;Húmedo;Portugués;Real;Ryokan;Museos;Media;No para UE;4;23/02/2019;20;Estudio
616;Italia;Roma;Tecnológico;Coliseo;36746437;2785;2;Primavera;Ferry;Continental;Italiano;Euro;Hoteles;Exploración;Media;No para UE;5;08/10/2019;34;Aventura
617;Tailandia;Bangkok;Tecnológico;Gran Palacio;31987076;1001;12;Todo el año;Bus;Templado;Tailandés;Baht;Resort;Compras;Alta;No para UE;3;14/07/2021;63;Vacaciones
618;Egipto;El Cairo;Histórico;Pirámides de Giza;49192446;3274;14;Invierno;Bus;Húmedo;Arabe;Libra Egipcia;Hostales;Surf;Alta;Si;3;23/03/2023;38;Vacaciones
619;EE.UU.;Nueva York;Gastronómico;Times Square;12207405;4110;5;Todo el año;Tren;Tropical;Inglés;Dólar;Boutique;Religión;Alta;No para UE;1;25/05/2019;28;Vacaciones
620;España;Barcelona;Histórico;Sagrada Familia;24543782;2750;5;Otoño;Bicicleta;Templado;Español;Euro;Camping;Gastronomía;Baja;No para UE;4;11/10/2023;61;Vacaciones
621;Egipto;El Cairo;Histórico;Pirámides de Giza;8899915;4021;10;Otoño;Tren;Continental;Arabe;Libra Egipcia;Airbnb;Religión;Alta;No;4;31/07/2021;60;Estudio
622;Francia;París;Histórico;Torre Eiffel;39681877;3731;3;Primavera;Tren;Templado;Francés;Euro;Resort;Religión;Media;No;2;04/01/2023;21;Aventura
623;Francia;París;Tecnológico;Torre Eiffel;37092597;3252;11;Invierno;Ferry;Tropical;Francés;Euro;Ryokan;Anime;Media;No;1;29/09/2022;70;Luna de Miel
624;EE.UU.;Nueva York;Cultural;Times Square;31642153;2147;8;Otoño;Bicicleta;Húmedo;Inglés;Dólar;Camping;Museos;Media;Si;3;04/10/2022;48;Estudio
625;Australia;Sidney;Histórico;Ópera de Sidney;10810415;1497;15;Invierno;Tren;Húmedo;Inglés;Dólar Australiano;Camping;Religión;Media;No para UE;2;05/09/2021;41;Luna de Miel
626;Brasil;Río de Janeiro;Histórico;Copacabana;8327585;694;15;Primavera;Tren;Templado;Portugués;Real;Ryokan;Museos;Alta;No para UE;5;09/02/2024;24;Estudio
627;Egipto;El Cairo;Religioso;Pirámides de Giza;35653759;1712;2;Otoño;Ferry;Templado;Arabe;Libra Egipcia;Resort;Compras;Media;No;3;22/02/2021;45;Estudio
628;México;Cancún;Tecnológico;Playas del Caribe;26556093;3626;8;Todo el año;Bus;Tropical;Español;Peso;Hostales;Senderismo;Baja;No para UE;4;30/08/2023;62;Luna de Miel
629;Tailandia;Bangkok;Gastronómico;Gran Palacio;5101654;1368;7;Primavera;Ferry;Tropical;Tailandés;Baht;Ryokan;Surf;Baja;No;3;29/12/2020;48;Estudio
630;España;Barcelona;Histórico;Sagrada Familia;41064109;1106;15;Verano;Bus;Continental;Español;Euro;Airbnb;Surf;Media;No;2;06/11/2022;68;Vacaciones
631;Australia;Sidney;Histórico;Ópera de Sidney;14484603;2232;14;Todo el año;Bicicleta;Continental;Inglés;Dólar Australiano;Ryokan;Religión;Media;Si;2;05/11/2023;50;Aventura
632;México;Cancún;Gastronómico;Playas del Caribe;34883292;2410;11;Verano;Metro;Templado;Español;Peso;Cabañas;Exploración;Baja;No para UE;5;27/08/2022;50;Luna de Miel
633;Egipto;El Cairo;Urbano;Pirámides de Giza;40888281;874;4;Verano;Metro;Templado;Arabe;Libra Egipcia;Cabañas;Religión;Alta;Si;2;21/02/2021;46;Negocios
634;EE.UU.;Nueva York;Aventura;Times Square;25900132;4290;4;Primavera;Bus;Continental;Inglés;Dólar;Boutique;Compras;Alta;No;2;31/07/2020;49;Estudio
635;Australia;Sidney;Religioso;Ópera de Sidney;48498755;4263;8;Otoño;Avión;Continental;Inglés;Dólar Australiano;Camping;Exploración;Baja;No;5;18/11/2021;62;Luna de Miel
636;Francia;París;Religioso;Torre Eiffel;15172886;2838;8;Todo el año;Taxi;Continental;Francés;Euro;Resort;Senderismo;Media;No para UE;1;17/04/2022;19;Aventura
637;EE.UU.;Nueva York;Cultural;Times Square;49840072;623;12;Todo el año;Bicicleta;Desértico;Inglés;Dólar;Boutique;Surf;Alta;No;3;11/09/2020;38;Negocios
638;Francia;París;Gastronómico;Torre Eiffel;10399039;2196;15;Primavera;Ferry;Húmedo;Francés;Euro;Boutique;Senderismo;Alta;No;5;10/12/2021;22;Vacaciones
639;EE.UU.;Nueva York;Playa;Times Square;29130341;3596;10;Invierno;Metro;Tropical;Inglés;Dólar;Camping;Gastronomía;Baja;Si;3;20/07/2019;52;Luna de Miel
640;Japón;Tokio;Cultural;Akihabara;29516844;4715;11;Verano;Ferry;Húmedo;Japonés;Yen;Hoteles;Senderismo;Media;No para UE;4;19/08/2023;32;Vacaciones
641;Italia;Roma;Histórico;Coliseo;46181640;2372;4;Invierno;Bicicleta;Continental;Italiano;Euro;Camping;Senderismo;Baja;Si;3;13/06/2020;34;Negocios
642;Egipto;El Cairo;Religioso;Pirámides de Giza;11916251;1965;12;Otoño;Bicicleta;Húmedo;Arabe;Libra Egipcia;Hostales;Surf;Media;No;4;16/09/2021;20;Aventura
643;México;Cancún;Tecnológico;Playas del Caribe;43823441;1301;6;Invierno;Bicicleta;Tropical;Español;Peso;Ryokan;Museos;Baja;No para UE;4;08/01/2024;44;Aventura
644;EE.UU.;Nueva York;Urbano;Times Square;23520274;2339;2;Verano;Avión;Continental;Inglés;Dólar;Hoteles;Museos;Alta;Si;4;13/09/2023;76;Estudio
645;España;Barcelona;Histórico;Sagrada Familia;44761174;3197;13;Verano;Avión;Tropical;Español;Euro;Camping;Religión;Baja;No para UE;3;27/06/2022;72;Luna de Miel
646;Egipto;El Cairo;Cultural;Pirámides de Giza;7311295;2579;10;Verano;Metro;Húmedo;Arabe;Libra Egipcia;Ryokan;Museos;Media;Si;1;07/03/2020;34;Vacaciones
647;España;Barcelona;Gastronómico;Sagrada Familia;5173032;3291;2;Invierno;Avión;Templado;Español;Euro;Resort;Religión;Alta;Si;2;19/03/2020;64;Vacaciones
648;Japón;Tokio;Aventura;Akihabara;25359383;3677;9;Verano;Metro;Húmedo;Japonés;Yen;Airbnb;Museos;Baja;No para UE;2;20/03/2022;70;Negocios
649;Francia;París;Tecnológico;Torre Eiffel;38756029;3101;7;Primavera;Bus;Tropical;Francés;Euro;Ryokan;Museos;Baja;No para UE;3;05/05/2023;36;Vacaciones
650;Japón;Tokio;Religioso;Akihabara;16636111;3321;13;Verano;Ferry;Húmedo;Japonés;Yen;Cabañas;Religión;Baja;No;2;29/07/2020;63;Estudio
651;México;Cancún;Histórico;Playas del Caribe;44358898;739;5;Verano;Taxi;Templado;Español;Peso;Ryokan;Exploración;Baja;No para UE;4;29/09/2022;69;Estudio
652;Brasil;Río de Janeiro;Cultural;Copacabana;11021856;1831;15;Otoño;Taxi;Templado;Portugués;Real;Airbnb;Religión;Media;Si;4;23/09/2021;44;Aventura
653;Francia;París;Urbano;Torre Eiffel;6980481;2699;8;Todo el año;Tren;Húmedo;Francés;Euro;Hoteles;Surf;Alta;No para UE;4;01/11/2022;36;Aventura
654;Australia;Sidney;Cultural;Ópera de Sidney;20364608;4505;13;Verano;Taxi;Continental;Inglés;Dólar Australiano;Hostales;Surf;Baja;Si;3;06/09/2019;51;Estudio
655;Brasil;Río de Janeiro;Cultural;Copacabana;13143920;3321;12;Todo el año;Avión;Húmedo;Portugués;Real;Hoteles;Museos;Alta;No para UE;3;13/03/2019;24;Aventura
656;Italia;Roma;Cultural;Coliseo;32863398;1799;8;Primavera;Ferry;Templado;Italiano;Euro;Hostales;Compras;Baja;Si;4;30/04/2022;21;Aventura
657;Tailandia;Bangkok;Gastronómico;Gran Palacio;30817236;2515;9;Verano;Bus;Continental;Tailandés;Baht;Cabañas;Surf;Baja;Si;3;10/05/2023;31;Aventura
658;Brasil;Río de Janeiro;Urbano;Copacabana;23258519;3641;5;Todo el año;Metro;Desértico;Portugués;Real;Resort;Exploración;Media;Si;2;04/08/2022;59;Luna de Miel
659;México;Cancún;Aventura;Playas del Caribe;17865091;2670;8;Verano;Bus;Húmedo;Español;Peso;Boutique;Senderismo;Alta;No;4;05/06/2023;43;Luna de Miel
660;Italia;Roma;Cultural;Coliseo;22385692;3223;3;Primavera;Bus;Desértico;Italiano;Euro;Hostales;Gastronomía;Alta;No;1;08/11/2021;77;Vacaciones
661;EE.UU.;Nueva York;Cultural;Times Square;45445219;3191;13;Todo el año;Tren;Húmedo;Inglés;Dólar;Hostales;Compras;Baja;No para UE;5;26/06/2020;25;Negocios
662;España;Barcelona;Aventura;Sagrada Familia;17007065;2676;15;Verano;Bus;Templado;Español;Euro;Resort;Surf;Baja;No para UE;1;16/07/2022;30;Aventura
663;Egipto;El Cairo;Urbano;Pirámides de Giza;8238510;2168;10;Invierno;Tren;Continental;Arabe;Libra Egipcia;Resort;Anime;Baja;Si;1;15/11/2021;52;Vacaciones
664;Italia;Roma;Gastronómico;Coliseo;12930078;2286;4;Todo el año;Avión;Continental;Italiano;Euro;Ryokan;Surf;Baja;Si;3;06/05/2023;21;Vacaciones
665;España;Barcelona;Aventura;Sagrada Familia;23400497;4578;6;Todo el año;Tren;Continental;Español;Euro;Resort;Gastronomía;Media;No;5;02/10/2019;69;Aventura
666;Italia;Roma;Gastronómico;Coliseo;35473923;1648;10;Todo el año;Metro;Tropical;Italiano;Euro;Hoteles;Surf;Baja;No;2;19/10/2020;64;Aventura
667;México;Cancún;Playa;Playas del Caribe;44663441;1569;13;Otoño;Bicicleta;Continental;Español;Peso;Camping;Compras;Media;Si;1;03/01/2021;77;Estudio
668;Francia;París;Tecnológico;Torre Eiffel;32522264;3360;2;Invierno;Metro;Templado;Francés;Euro;Hostales;Museos;Media;No para UE;5;23/04/2020;50;Negocios
669;Australia;Sidney;Gastronómico;Ópera de Sidney;44697752;594;14;Verano;Ferry;Tropical;Inglés;Dólar Australiano;Cabañas;Anime;Baja;Si;1;23/02/2020;66;Negocios
670;Brasil;Río de Janeiro;Urbano;Copacabana;21057753;1255;6;Invierno;Bus;Húmedo;Portugués;Real;Cabañas;Exploración;Alta;Si;3;01/06/2020;40;Vacaciones
671;Australia;Sidney;Cultural;Ópera de Sidney;38233346;4752;14;Todo el año;Avión;Continental;Inglés;Dólar Australiano;Cabañas;Compras;Media;No para UE;3;24/11/2019;54;Negocios
672;Egipto;El Cairo;Gastronómico;Pirámides de Giza;18306611;2073;10;Primavera;Tren;Continental;Arabe;Libra Egipcia;Hostales;Gastronomía;Media;No para UE;4;21/07/2020;46;Negocios
673;Francia;París;Urbano;Torre Eiffel;33507810;2336;10;Otoño;Ferry;Desértico;Francés;Euro;Boutique;Surf;Alta;Si;5;21/06/2019;77;Luna de Miel
674;Australia;Sidney;Cultural;Ópera de Sidney;32448729;1129;7;Todo el año;Metro;Desértico;Inglés;Dólar Australiano;Cabañas;Exploración;Media;No;2;04/07/2019;59;Aventura
675;Australia;Sidney;Aventura;Ópera de Sidney;28138646;1310;14;Todo el año;Tren;Templado;Inglés;Dólar Australiano;Airbnb;Senderismo;Baja;Si;4;21/08/2022;49;Vacaciones
676;Brasil;Río de Janeiro;Playa;Copacabana;36402128;2977;6;Invierno;Bus;Húmedo;Portugués;Real;Hoteles;Anime;Alta;Si;4;20/02/2023;62;Luna de Miel
677;Egipto;El Cairo;Religioso;Pirámides de Giza;26519729;1724;9;Primavera;Tren;Continental;Arabe;Libra Egipcia;Ryokan;Senderismo;Alta;No;5;24/10/2021;74;Negocios
678;EE.UU.;Nueva York;Aventura;Times Square;37882004;1932;11;Verano;Ferry;Desértico;Inglés;Dólar;Hoteles;Exploración;Alta;No para UE;1;20/12/2021;53;Negocios
679;Australia;Sidney;Cultural;Ópera de Sidney;19505883;1250;5;Todo el año;Tren;Tropical;Inglés;Dólar Australiano;Boutique;Gastronomía;Alta;Si;3;15/06/2020;57;Vacaciones
680;Japón;Tokio;Urbano;Akihabara;8675190;2337;6;Todo el año;Taxi;Tropical;Japonés;Yen;Camping;Museos;Baja;No para UE;1;27/10/2021;27;Aventura
681;España;Barcelona;Gastronómico;Sagrada Familia;27735095;2778;13;Todo el año;Bus;Desértico;Español;Euro;Ryokan;Gastronomía;Alta;No para UE;4;06/02/2020;25;Luna de Miel
682;EE.UU.;Nueva York;Urbano;Times Square;13186298;4969;8;Verano;Bus;Húmedo;Inglés;Dólar;Hostales;Exploración;Alta;No para UE;1;31/12/2021;68;Luna de Miel
683;EE.UU.;Nueva York;Gastronómico;Times Square;29325503;3200;2;Otoño;Metro;Tropical;Inglés;Dólar;Ryokan;Senderismo;Baja;No para UE;1;14/07/2022;54;Aventura
684;Egipto;El Cairo;Histórico;Pirámides de Giza;10042307;1304;4;Todo el año;Tren;Húmedo;Arabe;Libra Egipcia;Cabañas;Senderismo;Alta;No para UE;4;17/06/2021;52;Aventura
685;Italia;Roma;Playa;Coliseo;11789855;2060;10;Otoño;Ferry;Desértico;Italiano;Euro;Camping;Surf;Baja;No para UE;4;04/02/2024;49;Negocios
686;Brasil;Río de Janeiro;Cultural;Copacabana;14347923;1259;6;Todo el año;Bicicleta;Desértico;Portugués;Real;Camping;Anime;Baja;No para UE;5;24/03/2019;25;Aventura
687;España;Barcelona;Playa;Sagrada Familia;17241670;2829;2;Otoño;Bus;Desértico;Español;Euro;Camping;Religión;Alta;Si;1;14/12/2021;21;Negocios
688;Australia;Sidney;Urbano;Ópera de Sidney;19120850;2547;12;Verano;Tren;Tropical;Inglés;Dólar Australiano;Hostales;Exploración;Baja;No;2;22/06/2022;20;Vacaciones
689;EE.UU.;Nueva York;Histórico;Times Square;7679309;2107;14;Otoño;Bus;Tropical;Inglés;Dólar;Resort;Compras;Alta;No para UE;3;13/09/2020;28;Negocios
690;Italia;Roma;Urbano;Coliseo;30592479;4881;8;Verano;Metro;Desértico;Italiano;Euro;Boutique;Religión;Baja;No para UE;2;07/02/2019;34;Aventura
691;México;Cancún;Gastronómico;Playas del Caribe;14909649;2533;3;Todo el año;Tren;Continental;Español;Peso;Camping;Exploración;Baja;No para UE;1;07/05/2020;58;Aventura
692;EE.UU.;Nueva York;Cultural;Times Square;46804876;4633;7;Verano;Avión;Tropical;Inglés;Dólar;Resort;Anime;Baja;No para UE;3;09/03/2023;24;Vacaciones
693;EE.UU.;Nueva York;Cultural;Times Square;37898959;2904;6;Verano;Tren;Templado;Inglés;Dólar;Ryokan;Anime;Baja;No;3;05/01/2023;21;Luna de Miel
694;México;Cancún;Tecnológico;Playas del Caribe;39002952;4673;4;Todo el año;Tren;Continental;Español;Peso;Boutique;Exploración;Alta;Si;4;25/11/2023;46;Negocios
695;Japón;Tokio;Urbano;Akihabara;41899887;1847;4;Primavera;Taxi;Húmedo;Japonés;Yen;Airbnb;Anime;Alta;No;2;25/06/2022;39;Estudio
696;Francia;París;Urbano;Torre Eiffel;46755470;4393;12;Invierno;Bicicleta;Húmedo;Francés;Euro;Boutique;Surf;Alta;No;3;01/07/2023;49;Estudio
697;Brasil;Río de Janeiro;Histórico;Copacabana;39813285;648;10;Verano;Ferry;Húmedo;Portugués;Real;Ryokan;Surf;Baja;Si;5;25/11/2022;80;Luna de Miel
698;Italia;Roma;Religioso;Coliseo;33756061;2029;7;Invierno;Bicicleta;Continental;Italiano;Euro;Cabañas;Exploración;Baja;Si;5;15/12/2022;41;Luna de Miel
699;Italia;Roma;Aventura;Coliseo;38329413;4092;7;Invierno;Bicicleta;Continental;Italiano;Euro;Airbnb;Religión;Media;No para UE;4;02/09/2019;71;Aventura
700;México;Cancún;Urbano;Playas del Caribe;37320684;1270;11;Todo el año;Bicicleta;Continental;Español;Peso;Boutique;Anime;Alta;No;5;22/05/2022;50;Vacaciones
701;Egipto;El Cairo;Cultural;Pirámides de Giza;11188968;4057;7;Invierno;Tren;Húmedo;Arabe;Libra Egipcia;Resort;Gastronomía;Baja;Si;4;05/01/2021;42;Aventura
702;EE.UU.;Nueva York;Gastronómico;Times Square;25107625;3582;7;Todo el año;Bus;Húmedo;Inglés;Dólar;Hostales;Anime;Media;Si;5;21/03/2023;78;Vacaciones
703;España;Barcelona;Tecnológico;Sagrada Familia;13261052;981;13;Otoño;Metro;Tropical;Español;Euro;Airbnb;Gastronomía;Alta;Si;1;10/09/2021;78;Luna de Miel
704;EE.UU.;Nueva York;Playa;Times Square;14335797;2535;5;Todo el año;Metro;Húmedo;Inglés;Dólar;Airbnb;Exploración;Media;No;3;07/02/2020;23;Aventura
705;España;Barcelona;Religioso;Sagrada Familia;18614825;4810;15;Todo el año;Ferry;Desértico;Español;Euro;Hostales;Compras;Media;Si;5;11/06/2019;21;Luna de Miel
706;Egipto;El Cairo;Tecnológico;Pirámides de Giza;22366654;2003;4;Invierno;Bicicleta;Desértico;Arabe;Libra Egipcia;Airbnb;Compras;Baja;No;1;25/08/2020;67;Estudio
707;Tailandia;Bangkok;Playa;Gran Palacio;49996508;1094;4;Primavera;Ferry;Tropical;Tailandés;Baht;Hoteles;Anime;Alta;No para UE;1;01/02/2023;54;Estudio
708;Francia;París;Cultural;Torre Eiffel;13224924;1450;8;Verano;Bicicleta;Desértico;Francés;Euro;Hostales;Surf;Alta;Si;1;01/04/2021;53;Negocios
709;Tailandia;Bangkok;Gastronómico;Gran Palacio;49439380;670;10;Primavera;Avión;Templado;Tailandés;Baht;Boutique;Senderismo;Baja;No para UE;1;02/05/2019;59;Vacaciones
710;Egipto;El Cairo;Aventura;Pirámides de Giza;42451639;2926;14;Invierno;Bus;Húmedo;Arabe;Libra Egipcia;Hoteles;Exploración;Media;No;2;10/01/2019;22;Negocios
711;Italia;Roma;Cultural;Coliseo;15600436;901;12;Todo el año;Bus;Húmedo;Italiano;Euro;Ryokan;Religión;Baja;No;4;29/10/2019;50;Aventura
712;Australia;Sidney;Urbano;Ópera de Sidney;12293064;629;4;Todo el año;Avión;Desértico;Inglés;Dólar Australiano;Cabañas;Religión;Media;Si;4;23/08/2020;53;Aventura
713;Australia;Sidney;Playa;Ópera de Sidney;38512394;1215;13;Primavera;Ferry;Húmedo;Inglés;Dólar Australiano;Hostales;Exploración;Baja;No para UE;3;23/07/2019;75;Vacaciones
714;Egipto;El Cairo;Aventura;Pirámides de Giza;31658054;3255;3;Invierno;Ferry;Desértico;Arabe;Libra Egipcia;Camping;Museos;Alta;Si;5;22/01/2019;44;Aventura
715;Japón;Tokio;Tecnológico;Akihabara;47271495;2394;12;Primavera;Ferry;Continental;Japonés;Yen;Ryokan;Compras;Media;Si;3;02/12/2022;60;Vacaciones
716;Brasil;Río de Janeiro;Urbano;Copacabana;48121703;4822;7;Primavera;Ferry;Húmedo;Portugués;Real;Ryokan;Religión;Media;Si;4;14/08/2021;70;Aventura
717;EE.UU.;Nueva York;Tecnológico;Times Square;42429989;710;13;Invierno;Metro;Tropical;Inglés;Dólar;Airbnb;Surf;Alta;No;3;20/03/2019;39;Luna de Miel
718;Australia;Sidney;Religioso;Ópera de Sidney;31739400;4815;6;Invierno;Ferry;Húmedo;Inglés;Dólar Australiano;Hostales;Compras;Alta;No;3;28/12/2021;41;Luna de Miel
719;Brasil;Río de Janeiro;Urbano;Copacabana;14903511;1543;2;Todo el año;Avión;Húmedo;Portugués;Real;Ryokan;Surf;Media;Si;5;20/04/2023;69;Estudio
720;Brasil;Río de Janeiro;Tecnológico;Copacabana;33054684;2032;13;Primavera;Ferry;Desértico;Portugués;Real;Camping;Religión;Media;No;3;30/08/2021;42;Vacaciones
721;España;Barcelona;Cultural;Sagrada Familia;45085901;3470;6;Invierno;Bicicleta;Desértico;Español;Euro;Hostales;Exploración;Baja;No;4;19/07/2021;36;Luna de Miel
722;Australia;Sidney;Aventura;Ópera de Sidney;23471646;625;15;Otoño;Taxi;Templado;Inglés;Dólar Australiano;Ryokan;Anime;Media;No para UE;2;27/05/2023;59;Estudio
723;México;Cancún;Cultural;Playas del Caribe;20797337;1703;6;Otoño;Tren;Húmedo;Español;Peso;Hostales;Senderismo;Alta;No;2;21/07/2019;36;Vacaciones
724;EE.UU.;Nueva York;Playa;Times Square;22131016;4799;9;Primavera;Avión;Desértico;Inglés;Dólar;Boutique;Surf;Alta;No;1;10/03/2020;74;Vacaciones
725;Francia;París;Gastronómico;Torre Eiffel;24609737;1372;2;Todo el año;Bus;Tropical;Francés;Euro;Camping;Religión;Alta;No;3;21/10/2020;57;Aventura
726;Australia;Sidney;Gastronómico;Ópera de Sidney;22417731;3496;9;Otoño;Tren;Continental;Inglés;Dólar Australiano;Ryokan;Anime;Baja;No;1;16/10/2023;52;Aventura
727;Japón;Tokio;Gastronómico;Akihabara;27084138;4018;3;Verano;Bicicleta;Continental;Japonés;Yen;Camping;Exploración;Alta;Si;4;15/10/2020;80;Negocios
728;España;Barcelona;Histórico;Sagrada Familia;10611631;1696;2;Verano;Bus;Húmedo;Español;Euro;Cabañas;Anime;Baja;No para UE;1;31/10/2023;53;Aventura
729;Japón;Tokio;Urbano;Akihabara;16371055;4611;3;Todo el año;Tren;Tropical;Japonés;Yen;Boutique;Surf;Baja;Si;2;18/05/2020;68;Negocios
730;EE.UU.;Nueva York;Gastronómico;Times Square;8321820;3885;10;Invierno;Taxi;Desértico;Inglés;Dólar;Hostales;Exploración;Media;Si;5;07/08/2020;65;Estudio
731;Japón;Tokio;Aventura;Akihabara;25003573;4225;14;Primavera;Taxi;Templado;Japonés;Yen;Resort;Museos;Baja;No para UE;5;15/06/2023;28;Estudio
732;Tailandia;Bangkok;Urbano;Gran Palacio;46691953;3325;8;Todo el año;Metro;Templado;Tailandés;Baht;Resort;Gastronomía;Media;No para UE;2;28/12/2021;79;Aventura
733;Italia;Roma;Cultural;Coliseo;29319480;1842;9;Verano;Bicicleta;Húmedo;Italiano;Euro;Cabañas;Religión;Baja;No para UE;1;13/10/2020;49;Vacaciones
734;México;Cancún;Histórico;Playas del Caribe;45995051;3248;4;Verano;Ferry;Desértico;Español;Peso;Camping;Religión;Media;Si;5;05/11/2022;29;Estudio
735;EE.UU.;Nueva York;Urbano;Times Square;36199309;2599;7;Otoño;Tren;Tropical;Inglés;Dólar;Cabañas;Exploración;Baja;Si;4;09/05/2020;53;Luna de Miel
736;EE.UU.;Nueva York;Religioso;Times Square;5562621;2122;11;Verano;Taxi;Templado;Inglés;Dólar;Airbnb;Anime;Baja;No para UE;2;14/12/2023;48;Estudio
737;Francia;París;Cultural;Torre Eiffel;33081415;2351;7;Otoño;Avión;Templado;Francés;Euro;Cabañas;Anime;Baja;Si;5;29/09/2023;79;Negocios
738;Tailandia;Bangkok;Playa;Gran Palacio;40726307;3158;3;Invierno;Metro;Desértico;Tailandés;Baht;Hostales;Exploración;Baja;Si;4;12/10/2022;52;Negocios
739;Francia;París;Tecnológico;Torre Eiffel;39141109;3922;3;Todo el año;Bicicleta;Húmedo;Francés;Euro;Ryokan;Museos;Media;Si;2;23/05/2019;39;Vacaciones
740;Egipto;El Cairo;Gastronómico;Pirámides de Giza;43400288;955;8;Primavera;Taxi;Húmedo;Arabe;Libra Egipcia;Hostales;Museos;Alta;No para UE;1;23/04/2023;66;Negocios
741;Francia;París;Cultural;Torre Eiffel;25831408;3206;9;Invierno;Taxi;Desértico;Francés;Euro;Hoteles;Exploración;Baja;No;4;08/03/2021;49;Aventura
742;México;Cancún;Gastronómico;Playas del Caribe;49024539;4152;4;Verano;Bus;Tropical;Español;Peso;Hoteles;Museos;Baja;No para UE;1;31/03/2021;69;Vacaciones
743;Japón;Tokio;Tecnológico;Akihabara;38355027;4132;3;Otoño;Metro;Continental;Japonés;Yen;Camping;Compras;Alta;No;5;05/11/2020;77;Aventura
744;Tailandia;Bangkok;Aventura;Gran Palacio;17395856;4278;5;Otoño;Bus;Templado;Tailandés;Baht;Airbnb;Museos;Alta;No;2;16/01/2023;29;Luna de Miel
745;Japón;Tokio;Playa;Akihabara;38154352;2879;11;Primavera;Bus;Húmedo;Japonés;Yen;Cabañas;Exploración;Alta;No para UE;3;31/05/2021;28;Negocios
746;EE.UU.;Nueva York;Urbano;Times Square;44099271;2324;9;Verano;Bus;Desértico;Inglés;Dólar;Ryokan;Anime;Media;Si;4;28/11/2019;69;Estudio
747;Francia;París;Religioso;Torre Eiffel;36242197;4808;7;Invierno;Metro;Desértico;Francés;Euro;Hostales;Compras;Media;No para UE;1;13/11/2023;50;Luna de Miel
748;Japón;Tokio;Religioso;Akihabara;32783601;2590;14;Primavera;Bus;Desértico;Japonés;Yen;Camping;Surf;Media;Si;5;01/05/2021;26;Aventura
749;España;Barcelona;Cultural;Sagrada Familia;13204103;4455;2;Verano;Bicicleta;Tropical;Español;Euro;Boutique;Compras;Baja;No;1;10/12/2022;28;Vacaciones
750;España;Barcelona;Playa;Sagrada Familia;31134478;1174;13;Invierno;Ferry;Continental;Español;Euro;Hostales;Compras;Media;No;3;21/04/2021;40;Estudio
